id;naam_nl;naam_fr;naam_officieel;land;lastensoort;regeling;belastingtype;socialelastentype;vrijstellingstype;transactionele_basis;variabiliteitsklasse;effect;waarde;eenheid;geldig_jaar;geldig_van;geldig_tot;status;bron_url;bron_kenmerk;bronsoort;instantie;verificatiedatum;verificatie_door;aanpassingsfrequentie;ingevoerd;vervallen;gebruikt_in;afwijkend;kandidaat
p.fr.cfe.minimum;Cotisation fonciere des entreprises, minimumbijdrage;CFE, base minimum;;FR;fiscaal;fr.cfe;lokale_belasting;;;omzet;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;https://www.impots.gouv.fr;impots.gouv.fr, cotisation fonciere des entreprises;nog niet geraadpleegd;DGFiP en gemeenten;;;jaarlijks;;;;nee;ja
p.fr.csg.opslag_per_halve_part;Opslag per halve part boven drie parts;Majoration par demi-part au-dela de trois parts;;FR;sociaal;fr.csg;;csg_crds_casa;;inkomen;overheid_vastgesteld;bepaalt_toepasselijkheid;3.484 / 4.555 / 7.066 euro per halve part;EUR;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F2971;service-public.fr, fiche F2971;secundair: samenvattende fiche van service-public.fr, de wetsartikelen niet zelf gelezen;DGFiP;2026-06-01;financieel-kompas-ai, config.json;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.csg.rfr_grenzen_per_part;RFR-grenzen per part voor het CSG-regime;Seuils de revenu fiscal de reference par part;Seuils de RFR pour le taux de CSG applicable;FR;sociaal;fr.csg;;csg_crds_casa;drempel;inkomen;overheid_vastgesteld;bepaalt_toepasselijkheid;van 13.048 / 17.057 / 26.472 euro bij 1 part tot 26.984 / 35.277 / 54.736 euro bij 3 parts;EUR;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F2971;service-public.fr, fiche F2971;secundair: samenvattende fiche van service-public.fr, de wetsartikelen niet zelf gelezen;DGFiP;2026-06-01;financieel-kompas-ai, config.json;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.csg.tarief_per_regime;CSG, CRDS en CASA per regime op pensioen;CSG, CRDS et CASA par taux sur les pensions;Taux zero, taux reduit, taux median, taux normal;FR;sociaal;fr.csg;;csg_crds_casa;;inkomen;overheid_vastgesteld;verhoogt_last;0 procent, 4,3 procent, 7,4 procent of 9,1 procent, afhankelijk van het revenu fiscal de reference;fractie;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F2971;"service-public.fr, fiche F2971, CSG et CRDS sur les revenus d activite et de remplacement; art. L136-1 en L136-8 CSS";secundair: samenvattende fiche van service-public.fr, de wetsartikelen niet zelf gelezen;Urssaf en DGFiP;2026-06-01;financieel-kompas-ai, config.json;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.csi.tarief_en_minimum;Contribution de securite immobiliere, tarief en minimum;Contribution de securite immobiliere;Art. 879, 881 F en 881 K CGI;FR;fiscaal;fr.csi;heffing_bijzonder;;;akte;overheid_vastgesteld;verhoogt_last;0,10 procent, minimaal 15,00 euro per akte;procent en EUR;2026;;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000022335681;art. 879 CGI (verschuldigdheid), art. 881 K CGI (tarief), art. 881 F CGI (ondergrens);primair;Service de la publicite fonciere;2026-08-12;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie;nee;nee
p.fr.cvae.drempel;CVAE-drempel;Seuil de la CVAE;Cotisation sur la valeur ajoutee des entreprises;FR;fiscaal;fr.cvae;lokale_belasting;;drempel;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;;EUR;2026;;;te_verifieren;;;;;;;onregelmatig;;;cafeclaude;nee;nee
p.fr.diagnostics.geldigheid_diagnostic_electrique;Geldigheid van het diagnostic electrique;Duree de validite du diagnostic electrique;Art. R271-5 Code de la construction et de l habitation;FR;overig_transactiekosten;fr.diagnostics;;;;verrichting;overheid_vastgesteld;bepaalt_toepasselijkheid;"3 jaar bij verkoop, 6 jaar bij verhuur; verplicht bij een installatie ouder dan 15 jaar";jaren;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F18692;service-public.fr, fiche F18692;secundair: samenvattende fiche van service-public.fr, het wetsartikel niet zelf gelezen;Ministere de la transition ecologique;2026-07-04;dossier-elektriciteit-if, verificatie/normverificatie.md;zelden;;;dossier-elektriciteit-if;nee;nee
p.fr.diagnostics.verplichte_diagnoses_kosten;Kosten van het verplichte diagnosepakket;Cout du dossier de diagnostic technique;Art. L271-4 Code de la construction;FR;overig_transactiekosten;fr.diagnostics;;;;verrichting;marktindex;verhoogt_last;;EUR;2026;;;te_verifieren;https://www.service-public.fr/particuliers/vosdroits/F16096;service-public.fr, dossier de diagnostic technique;nog niet geraadpleegd;Ministere de la transition ecologique;;;onregelmatig;;;;nee;ja
p.fr.dmto.abattement_bijzondere_departementen;Bijzondere DMTO-regelingen per departement;Regimes departementaux particuliers;Art. 1594 F ter, F sexies en F septies CGI;FR;fiscaal;fr.dmto;overdrachtsbelasting;;;koopsom;overheid_vastgesteld;verlaagt_last;;EUR en procent;2026;;;te_verifieren;https://www.impots.gouv.fr/sites/default/files/media/1_metier/3_partenaire/notaires/dmto/dmto_2026-06.pdf;"DGFiP, bareme DMTO; art. 1594 F ter, F sexies en F septies CGI";nog niet geraadpleegd;DGFiP;;;jaarlijks;;;;nee;ja
p.fr.dmto.departementaal_primo;Departementaal DMTO-tarief, primo-accedant;Taux departemental des DMTO, primo-accedant;Art. 116 II van wet 2025-127;FR;fiscaal;fr.dmto;overdrachtsbelasting;;;koopsom;overheid_vastgesteld;verlaagt_last;4,50 procent in 99 departementen, 3,80 procent in 2 departementen;procent;2026;2025-04-01;2028-03-31;vastgesteld;https://www.impots.gouv.fr/sites/default/files/media/1_metier/3_partenaire/notaires/dmto/dmto_2026-06.pdf;"DGFiP, tarieven per 1 juni 2026; art. 116 II van wet 2025-127";primair;DGFiP;2026-06-01;Vastgoedtransactie, bronnen.json;jaarlijks;;;Vastgoedtransactie;nee;nee
p.fr.dmto.departementaal_standaard;Departementaal DMTO-tarief, standaard;Taux departemental des DMTO, regime general;Art. 1594 D CGI;FR;fiscaal;fr.dmto;overdrachtsbelasting;;;koopsom;overheid_vastgesteld;verhoogt_last;5,00 procent in 89 departementen, 4,50 procent in 11 departementen, 3,80 procent in 1 departement;procent;2026;2025-04-01;2028-03-31;vastgesteld;https://www.impots.gouv.fr/sites/default/files/media/1_metier/3_partenaire/notaires/dmto/dmto_2026-06.pdf;"DGFiP, tarieven per 1 juni 2026; art. 1594 D CGI en art. 116 II van wet 2025-127 van 14 februari 2025";primair;DGFiP;2026-06-01;Vastgoedtransactie, bronnen.json;jaarlijks;;;Vastgoedtransactie;nee;nee
p.fr.dmto.frais_assiette;Frais d assiette over het departementale deel;Frais d assiette et de recouvrement;Art. 1647 V-a CGI;FR;fiscaal;fr.dmto;overdrachtsbelasting;;;koopsom;overheid_vastgesteld;verhoogt_last;2,37 procent bovenop het departementale deel;procent;2026;;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000054373998;art. 1647 V-a CGI, geheven op grond van art. 1594 A;primair;DGFiP;2026-06-01;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie;nee;nee
p.fr.dmto.taxe_communale;Taxe communale bij overdracht;Taxe communale additionnelle;Art. 1584 CGI;FR;fiscaal;fr.dmto;overdrachtsbelasting;;;koopsom;overheid_vastgesteld;verhoogt_last;1,20 procent;procent;2026;;;vastgesteld;https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000054373998;"art. 1584 CGI; voor gemeenten die daar niet onder vallen art. 1595 bis met hetzelfde standaardtarief";primair;DGFiP;2026-06-01;Vastgoedtransactie, bronnen.json;zelden;;;Vastgoedtransactie;nee;nee
p.fr.don.barema_lijn_directe;Barema schenkingsrechten in rechte lijn;Bareme des droits de donation en ligne directe;Art. 777 CGI, tableau I;FR;fiscaal;fr.don;erf_en_schenkbelasting;;;schenking;overheid_vastgesteld;verhoogt_last;5 procent tot 8.072 euro oplopend tot 45 procent boven 1.805.677 euro;EUR en fractie;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F14203;service-public.fr, fiche F14203;secundair: samenvattende fiche van service-public.fr, art. 777 CGI niet zelf gelezen;DGFiP;2024-11-07;erf-en-schenkingsrecht-nl-fr, app.js;zelden;;;erf-en-schenkingsrecht-nl-fr;nee;nee
p.fr.don.vrijstelling_geldschenking;Extra vrijstelling geldschenking;Don familial de somme d argent;Art. 790 G CGI;FR;fiscaal;fr.don;erf_en_schenkbelasting;;vrijstelling;schenking;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;;;;;;;zelden;;;erf-en-schenkingsrecht-nl-fr;nee;nee
p.fr.dpe.co2_emissiefactoren;CO2-emissiefactoren per energiedrager;Facteurs d emission de CO2 par energie;;FR;overig_transactiekosten;fr.dpe;;;;verbruik;overheid_vastgesteld;bepaalt_grondslag;;kg CO2 per kWh;2026;;;te_verifieren;;;;;;;meerjaarlijks;;;energieportaal | if-mobiel;nee;nee
p.fr.dpe.klassegrenzen;DPE-klassegrenzen voor energie en CO2;Seuils des classes DPE, energie et CO2;Etiquettes du diagnostic de performance energetique;FR;overig_transactiekosten;fr.dpe;;;drempel;verbruik;overheid_vastgesteld;bepaalt_toepasselijkheid;;kWh/m2 en kg CO2/m2;2026;;;te_verifieren;;;;;;;meerjaarlijks;;;energieportaal | if-mobiel;nee;nee
p.fr.dpe.primaire_energiefactor_elektriciteit;Primaire-energiefactor elektriciteit;Coefficient d energie primaire, electricite;Coefficient de conversion en energie primaire;FR;overig_transactiekosten;fr.dpe;;;;verbruik;overheid_vastgesteld;bepaalt_grondslag;;factor;2026;2026-01-01;;te_verifieren;;arrete du 13 aout 2025, in werking per 1 januari 2026;secundair: het arrete is in de repo genoemd maar niet als vindplaats vastgelegd;Ministere de la transition ecologique;;;meerjaarlijks;;;energieportaal | if-mobiel;nee;nee
p.fr.efact.datum_ontvangstplicht;Invoeringsdatum ontvangstplicht e-facturatie;Date d entree en vigueur de l obligation de reception;Facturation electronique, calendrier legal;FR;fiscaal;fr.efact;omzetbelasting;;;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;1 september 2026;datum;2026;2026-09-01;;vastgesteld;https://www.impots.gouv.fr/facturation-electronique;impots.gouv.fr, facturation electronique, gecontroleerd 8 juli 2026;primair;DGFiP;2026-07-08;e-facturatie-frankrijk, data/rules.ts;onregelmatig;;;e-facturatie-frankrijk;nee;nee
p.fr.efact.datum_uitgifteplicht_pme;Invoeringsdatum uitgifteplicht PME en TPE;Date d entree en vigueur de l obligation d emission, PME et TPE;;FR;fiscaal;fr.efact;omzetbelasting;;;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;1 september 2027;datum;2027;2027-09-01;;vastgesteld;https://www.impots.gouv.fr/facturation-electronique;impots.gouv.fr, facturation electronique, gecontroleerd 8 juli 2026;primair;DGFiP;2026-07-08;e-facturatie-frankrijk, data/rules.ts;onregelmatig;;;e-facturatie-frankrijk;nee;nee
p.fr.efact.grens_tpe;Grens voor een TPE;Seuil de la tres petite entreprise;Categories d entreprises, INSEE;FR;fiscaal;fr.efact;omzetbelasting;;drempel;omzet;overheid_vastgesteld;bepaalt_toepasselijkheid;minder dan 10 medewerkers en maximaal 2 miljoen euro omzet of balanstotaal;EUR en aantal;2026;;;vastgesteld;;"INSEE, categories d entreprises; gecontroleerd 8 juli 2026";secundair: definitie van de INSEE, het decreet niet zelf gelezen;INSEE;2026-07-08;e-facturatie-frankrijk, data/rules.ts;zelden;;;e-facturatie-frankrijk;nee;nee
p.fr.elec.beheerbijdrage_weigeren_linky;Beheerbijdrage bij weigeren van de Linky-meter;Contribution de gestion en cas de refus du compteur Linky;TURPE 7;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;6,48 euro exclusief btw per twee maanden, plus 4,14 euro exclusief btw bij meer dan een jaar geen meterstand;EUR;2026;2025-08-01;;vastgesteld;;TURPE 7, deliberatie van de CRE 2025-78;secundair: de deliberatie is genoemd maar niet als vindplaats vastgelegd;CRE en Enedis;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.consuel_contre_visite;Consuel contre-visite;Consuel, contre-visite;Bareme Consuel;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;232,13 euro;EUR;2026;2025-09-02;;vastgesteld;;barema van Consuel, geverifieerd op 4 juli 2026;secundair: barema van Consuel, het arrete zelf niet gelezen;Consuel;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.consuel_geel_elektronisch;Consuel-tarief attestation geel, elektronisch;Tarif Consuel, attestation jaune, voie electronique;Bareme Consuel;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;144,67 euro;EUR;2026;2025-09-02;;vastgesteld;;barema bij arrete van 4 augustus 2015, geindexeerd met 0,64 procent per 2 september 2025;secundair: barema van Consuel, het arrete zelf niet gelezen;Consuel;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.consuel_indexering;Indexering van het Consuel-barema;Indexation du bareme Consuel;;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;0,64 procent per 2 september 2025;procent;2026;2025-09-02;;vastgesteld;;indexering van het barema per 2 september 2025;secundair: mededeling van Consuel, de onderliggende beslissing niet gelezen;Consuel;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.consuel_overige_formulieren;Consuel-tarieven overige formulieren;Tarifs Consuel, autres attestations;Bareme Consuel;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;"geel op papier 146,15; groen 76,37; blauw 201,17; violet 230,32 euro";EUR;2026;2025-09-02;;vastgesteld;;barema van Consuel, geverifieerd op 4 juli 2026;secundair: barema van Consuel, het arrete zelf niet gelezen;Consuel;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.tariefoptiewissel_zonder_linky;Tariefoptiewissel zonder Linky;Changement d option tarifaire sans Linky;TURPE, prestation Enedis;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;"56,72 euro; met Linky gratis";EUR;2026;;;vastgesteld;;catalogue des prestations Enedis, geverifieerd op 4 juli 2026;secundair: prestatiecatalogus van Enedis, de CRE-deliberatie niet zelf gelezen;Enedis;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.vermogenstrappen;Vermogenstrappen en aansluitgrenzen;Paliers de puissance et limites de raccordement;;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;bepaalt_toepasselijkheid;"abonnement 3, 6, 9 of 12 kVA; monophase maximaal 12 kVA; triphase tot 36 kVA";kVA;2026;;;vastgesteld;;Enedis, aansluitvoorwaarden, geverifieerd op 4 juli 2026;secundair: voorwaarden van Enedis, de norm zelf niet gelezen;Enedis;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;zelden;;;dossier-elektriciteit-if;nee;nee
p.fr.elec.wijziging_puissance_souscrite;Administratieve wijziging van de puissance souscrite;Changement de puissance souscrite;Catalogue des prestations Enedis;FR;overig_transactiekosten;fr.elec;;;;verrichting;overheid_vastgesteld;verhoogt_last;circa 4,28 euro inclusief btw;EUR;2026;;;vastgesteld;;catalogue des prestations Enedis;secundair: prestatiecatalogus van Enedis, de CRE-deliberatie niet zelf gelezen;Enedis;2026-07-04;dossier-elektriciteit-if, hoofdstukken en verificatie;jaarlijks;;;dossier-elektriciteit-if;nee;nee
p.fr.energie.apparaatverbruik_per_jaar;Apparaatverbruik per jaar;Consommation annuelle par appareil;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;kWh/jaar;2026;;;te_verifieren;;;;;;;zelden;;;warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;ja;nee
p.fr.energie.graaddagen_per_klimaatzone;Graaddagen en referentietemperatuur per klimaatzone;Degres-jours et temperature de reference par zone;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;HDD en graden C;2026;;;te_verifieren;;;;;;;zelden;;;energieportaal | if-mobiel | warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;nee;nee
p.fr.energie.houtenergie_per_stere;Energie-inhoud hout per stere;Contenu energetique du bois par stere;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;kWh/stere;2026;;;te_verifieren;;;;;;;zelden;;;nlfr-ai-agent;nee;nee
p.fr.energie.koeldagen_en_zwembadtemperatuur;Koeldagen en zwembadtemperatuur per klimaatzone;Degres-jours de refroidissement et temperature de piscine;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;CDD en graden C;2026;;;te_verifieren;;;;;;;zelden;;;warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;nee;nee
p.fr.energie.omrekenfactoren_kwh;Omrekenfactoren naar kWh per eenheid;Facteurs de conversion en kWh;;FR;overig_transactiekosten;fr.energie;;;;verbruik;afgeleid;bepaalt_grondslag;;kWh per eenheid;2026;;;te_verifieren;;;;;;;zelden;;;energieportaal | if-mobiel | warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr | nlfr-ai-agent;nee;nee
p.fr.energie.pv_opbrengst_per_klimaatzone;PV-opbrengst per klimaatzone;Productible photovoltaique par zone;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;kWh per kWp per jaar;2026;;;te_verifieren;;;;;;;zelden;;;energieportaal | if-mobiel | warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;nee;nee
p.fr.energie.referentieprijzen;Referentie-energieprijzen met peildatum;Prix de reference de l energie;;FR;overig_transactiekosten;fr.energie;;;;verbruik;marktindex;bepaalt_grondslag;;EUR per eenheid;2026;;;te_verifieren;;CRE voor elektriciteit en gas, DGEC Pegase voor propaan en stookolie;secundair: waarden in de tool met een refDate per waarde, niet per waarde tegen de publicatie gelegd;CRE en DGEC;;;doorlopend;;;energieportaal;nee;nee
p.fr.energie.standaardprijzen_invoer;Standaard energieprijzen als invulwaarde;Prix de l energie par defaut;;FR;overig_transactiekosten;fr.energie;;;;verbruik;gebruikersinvoer;bepaalt_grondslag;;EUR per eenheid;2026;;;te_verifieren;;;;;;;onregelmatig;;;energieportaal | if-mobiel | warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;ja;nee
p.fr.energie.u_waarden_isolatieniveau;U-waarden per isolatieniveau;Coefficients U par niveau d isolation;;FR;overig_transactiekosten;fr.energie;;;;verbruik;indicatief;bepaalt_grondslag;;W/m2K;2026;;;te_verifieren;;;;;;;zelden;;;energieportaal | if-mobiel | warmteverlies-calculator | Energiecalculator-Frankrijk-door-Nederlanders.fr;ja;nee
p.fr.energie.verouderingsdrempel_prijzen;Verouderingsdrempel voor de energieprijzen;Seuil d obsolescence des prix;;FR;overig_transactiekosten;fr.energie;;;;verbruik;afgeleid;informatief;;dagen;2026;;;te_verifieren;;;;;;;onbekend;;;energieportaal;nee;nee
p.fr.erf.reserve_hereditaire;Reserve hereditaire per aantal kinderen;Reserve hereditaire selon le nombre d enfants;Art. 913 Code civil;FR;fiscaal;fr.erf;;;;nalatenschap;overheid_vastgesteld;bepaalt_grondslag;;fractie;2026;;;te_verifieren;;;;;;;zelden;;;cafeclaude;nee;nee
p.fr.gite.degressieve_reeks;Degressieve reeks per bezitsjaar in GiteKompas;Serie degressive par annee de detention;;FR;fiscaal;fr.gite;inkomstenbelasting;;degressieve_aftrek;omzet;indicatief;verlaagt_last;;procent;2026;;;te_verifieren;;;;;;;onbekend;;;gitekompas-fr;nee;nee
p.fr.gite.minimumheffing_niet_residenten;Minimumheffing niet-residenten, bandbreedte;Taux minimum d imposition des non-residents;Taux minimum, art. 197 A CGI;FR;fiscaal;fr.gite;inkomstenbelasting;;;omzet;indicatief;verhoogt_last;;procent;2026;;;te_verifieren;;;;;;;jaarlijks;;;gitekompas-fr;nee;nee
p.fr.handel.forfaitaire_incassokosten;Forfaitaire incassokosten bij te late betaling;Indemnite forfaitaire de recouvrement;Art. L441-10 Code de commerce;FR;overig_transactiekosten;fr.handel;;;;verrichting;overheid_vastgesteld;verhoogt_last;;EUR;2026;;;te_verifieren;;;;;;;zelden;;;briefhulp-fr;nee;nee
p.fr.huur.boete_late_teruggave_borg;Boete bij te late teruggave van de huurborg;Majoration en cas de restitution tardive du depot de garantie;Art. 22 al. 5 loi 89-462;FR;overig_transactiekosten;fr.huur;;;;verrichting;overheid_vastgesteld;verlaagt_last;;procent;2026;;;te_verifieren;;art. 22 al. 5 van wet 89-462 van 6 juli 1989;secundair: wetsartikel genoemd in de brieftemplate, de tekst niet als vindplaats vastgelegd;;;;zelden;;;briefhulp-fr | briefhulp-fr | briefhulp-fr;nee;nee
p.fr.ifi.drempel;IFI-drempel;Seuil d assujettissement a l IFI;Seuil de 1.300.000 euros, art. 964 CGI;FR;fiscaal;fr.ifi;vermogensbelasting;;drempel;vermogen;overheid_vastgesteld;bepaalt_toepasselijkheid;;EUR;2026;;;te_verifieren;;;;;;;zelden;2018-01-01;;financieel-kompas-ai | cafeclaude;nee;nee
p.fr.ifi.schijven;IFI-schijven en tarieven;Bareme de l IFI;Tarif de l IFI, art. 977 CGI;FR;fiscaal;fr.ifi;vermogensbelasting;;;vermogen;overheid_vastgesteld;verhoogt_last;;EUR en fractie;2026;;;te_verifieren;;;;;;;zelden;2018-01-01;;financieel-kompas-ai;nee;nee
p.fr.ir.abattement_65plus;Abattement voor 65-plussers;Abattement pour personnes agees de plus de 65 ans;Abattement special, art. 157 bis CGI;FR;fiscaal;fr.ir;inkomstenbelasting;;abattement;inkomen;overheid_vastgesteld;verlaagt_last;;EUR;2026;;;te_verifieren;;;;;;;jaarlijks;;;financieel-kompas-ai;nee;nee
p.fr.ir.abattement_loon;Abattement op loon: tarief, minimum en maximum;Abattement de 10 pour cent sur les salaires;Deduction forfaitaire pour frais professionnels;FR;fiscaal;fr.ir;inkomstenbelasting;;abattement;inkomen;overheid_vastgesteld;verlaagt_last;10 procent, minimaal 509 euro en maximaal 14.555 euro per persoon;fractie en EUR;2026;;;vastgesteld;https://www.service-public.fr/particuliers/vosdroits/F1989;service-public.fr, fiche F1989, Impot sur le revenu: frais professionnels, forfait ou frais reels;secundair: samenvattende fiche van service-public.fr, het wetsartikel niet zelf gelezen;DGFiP;2026-04-15;financieel-kompas-ai, config.json;jaarlijks;;;financieel-kompas-ai;nee;nee
